price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price_per_area,cluster,pca1,pca2,distance_to_centroid,anomaly
13300000,7420,4,2,3,1,0,0,0,1,2,1,0,1792.4528301886792,2,3.4864149367974844,0.08941706139131494,2.355296037577062,False
12250000,8960,4,4,4,1,0,0,0,1,3,0,0,1367.1875,2,6.083345607069222,1.881069058291061,5.4040675778315785,True
12250000,9960,3,2,2,1,0,1,0,0,2,1,1,1229.9196787148594,2,1.784976909526176,1.8862976251769443,2.6360810721603616,False
12215000,7500,4,2,2,1,0,1,0,1,3,1,0,1628.6666666666667,2,3.0159898920722963,0.991918452617836,2.9567186860847996,False
11410000,7420,4,1,2,1,1,1,0,1,2,0,0,1537.7358490566037,2,1.6093040646042225,0.5007203524613532,2.6579414369339265,False
10850000,7500,3,3,1,1,0,1,0,1,2,1,1,1446.6666666666667,2,2.299953760186302,0.9693459846581196,3.384221880441398,True
10150000,8580,4,3,4,1,0,0,0,1,2,1,1,1182.983682983683,2,4.562743987844133,1.4428347837048243,3.4062618174759685,True
10150000,16200,5,3,2,1,0,0,0,0,0,0,2,626.5432098765432,2,3.494627934760158,4.07642489395614,6.1567700010535695,True
9870000,8100,4,1,2,1,1,1,0,1,2,1,0,1218.5185185185185,1,1.3297658414320783,1.2339184701060115,2.3687597352723073,False
9800000,5750,3,2,4,1,1,0,0,1,1,1,2,1704.3478260869565,2,2.8855496407169032,-0.9657233774093508,2.2837230722134225,False
9800000,13200,3,1,2,1,0,1,0,1,2,1,0,742.4242424242424,1,0.46372747203612397,3.605266871290669,2.7610112559071602,False
9681000,6000,4,3,2,1,1,1,1,0,2,0,1,1613.5,2,3.6676174845644947,0.14506559543531522,2.8882736112986387,False
9310000,6550,4,2,2,1,0,0,0,1,1,1,1,1421.3740458015268,2,2.1991052767409793,0.020321981357398322,1.1514538344909782,False
9240000,3500,4,2,2,1,0,0,1,0,2,0,0,2640.0,2,3.5096038866032533,-2.4266861511247413,4.409800251477733,True
